,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TAF3,2120.562413,1.993568514,0.521193147,3.825009071,0.000130767,0.007194946
IST1,339.4187515,-0.732345374,0.478914776,-1.529176819,0.126220616,0.54197925
ZBTB20,2651.764399,-0.772840134,0.341715964,-2.261644805,0.023719357,0.244600454
DMTF1,513.4506361,-0.463459656,0.526191247,-0.880781767,0.37843595,0.793833619
UBAP1L,250.7341415,2.301997117,0.580616131,3.964748817,7.35E-05,0.004606191
TTC37,504.5798077,-0.381103676,0.514562615,-0.740636154,0.45891408,0.842304012
TCF12,379.3986403,-0.569074225,0.578425238,-0.98383367,0.325197301,0.756329797
DLG1,551.2552329,-0.620597969,0.435968397,-1.423493019,0.154593285,0.584844646
RALGAPA2,844.0903264,-0.754726565,0.322680987,-2.338924807,0.019339325,0.219742807
LOC100133331,1092.184128,5.717881097,0.803613676,7.115211288,1.12E-12,4.90E-10
SCARNA20,1009.840975,7.115580816,0.782365235,9.094960385,9.46E-20,1.56E-16
ATP13A3,446.2651176,-0.71928197,0.476482849,-1.509565291,0.131154383,0.550603053
ATRN,564.3320934,-0.772398865,0.317892162,-2.429751206,0.01510919,0.190291003
PKN2,336.3830433,-0.699768166,0.663733351,-1.054291102,0.291749661,0.730720012
BCAS2,78.45942078,-1.359294443,0.93298529,-1.456930198,0.145135649,0.573020631
KIAA0368,955.2682796,-0.899313329,0.343931931,-2.614800342,0.008927963,0.14322454
CD2AP,729.5603248,-0.671663728,0.373848368,-1.796620733,0.072395851,0.4298711
AKAP13,2382.44279,-0.828105526,0.23124343,-3.58109861,0.000342152,0.015561473
MYO10,3763.838573,1.266390629,0.381852102,3.316442737,0.000911713,0.030516105
TMEM106B,256.0974967,-0.937181928,0.68699566,-1.364174453,0.172512667,0.612069735
CCSER2,376.288012,-0.74513597,0.431600737,-1.726447398,0.084266955,0.458486347
UPF2,4324.538842,2.433035734,0.441113832,5.515664112,3.47E-08,5.72E-06
ZNF33A,419.8669895,-0.429047024,0.342265213,-1.253551361,0.21000512,0.655133918
PDCD6IP,470.2206653,-0.783044009,0.534007685,-1.466353444,0.142552023,0.569969837
APBB2,596.9216292,-0.735265195,0.345071586,-2.130761343,0.033108809,0.290913747
