"","cont1","cont2","cont3","FA1","FA2","FA3"
"CBFB",8.63308649369614,8.45967476595017,8.57096393020471,9.24524538458011,9.34759337295432,9.09807922723428
"EGF",15.2300336736501,14.9859601173289,15.0354838627575,13.0772771112654,9.28164271263695,12.2370273456515
"COL1A1",10.6740663198567,10.879625812528,10.9881654472678,13.8291126130187,14.9051671714641,14.3299459795935
