	CBFB	EGF	COL1A1	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
AKI16	10.10675376	0	14.27193866	0.034871542	0	0.028215957	0	0.043150058	0.439623956	0.033678491	0	0.048285061	0	0.308349082	0	0.049273084	0	0.000995516	0.013557255	0	0	0	0	0	0	0.958	-0.035128974	1.205637271
AKI17	9.201358184	0	11.49501179	0	0	0.095678661	0.098294877	0	0.257773578	0	0.206020828	0.012186112	0	0	0.009388175	0.072715842	0.039085385	0.061654834	0	0.004299346	0	0.107441679	0	0	0.035460683	0.746	0.000513822	1.102193056
AKI18	7.752659401	8.371504412	12.09077405	0.108795277	0	0	0.059328925	0.263027114	0.011864811	0	0	0	0	0.169807481	0	0.210265345	0.085860733	0	0	0	0.007589596	0.083460718	0	0	0	0.999	-0.085097633	1.138461351
AKI19	7.714674827	6.189000868	11.20446926	0	0.003579595	0.021530227	0.230071148	0	0.214718619	0	0.08022874	0	0	0.156397502	0	0.104395791	0.117759584	0.019598564	0.051720231	0	0	0	0	0	0	0.994	-0.065851618	1.169227812
AKI20	8.448202362	3.594946589	12.88844599	0.134442734	0.007195407	0	0	0.226742011	0	0	0	0.251706078	0	0.126526873	0	0.075980866	0.074084375	0	0	0	0	0	0.103321656	0	0	0.461	0.04230945	1.092150254
AKI21	8.732026061	6.774512549	11.09587773	0	0.082259317	0.009705248	0	0.187741906	0.18524741	0	0.3225753	0	0	0.132797035	0	0	0.002000798	0	0.016493757	0	0.001326687	0.028402814	0	0	0.031449726	0.372	0.057481984	1.131075207
AKI22	7.111353058	8.115152054	13.17317937	0	0.085342292	0	0.048220333	0.249492204	0.14441	0.013449066	0	0	0	0.047008813	0	0.211734906	0.021892388	0.088738911	0	0.018400108	0	0.071310979	0	0	0	0.664	0.012542076	1.097584306
AKI23	7.809634168	8.597509448	11.70388555	0	0.009507234	0	0.006020292	0.003041976	0.078548348	0	0.013099207	0	0	0	0.044495546	0.446990511	0	0.022587204	0	0	0.124377982	0.210101232	0	0.041230468	0	0.53	0.030449013	1.10535056
AKI24	8.818582177	9.905481025	12.29799095	0.150099477	0	0.022197887	0.004906941	0.134622667	0.32179466	0	0.025673156	0	0	0.173038417	0	0.106312861	0.058523775	0.002830159	0	0	0	0	0	0	0	0.76	-0.001217496	1.129998673
AKI25	9.052568051	8.843070464	12.72072967	0.072468817	0	0.017795345	0.03486502	0	0.464649731	0	0	0	0	0.014179813	0	0.357501338	0.027139767	0.0010685	0	0	0	0.010331669	0	0	0	0.113	0.131442608	1.064575207
AKI26	5.596189756	8.032275364	11.43673323	0.157965564	0	0.058750949	0.130952452	0.115338467	0.216411676	0.014480605	0	0	0	0.149368224	0	0.018736109	0.030150421	0	0.052210191	0	0	0	0	0.055635342	0	0.72	0.004276959	1.121969186
AKI27	8.072020919	7.924936186	11.57065622	0	0	0	0	0.295897964	0	0	0	0.044465929	0.059697499	0.070399356	0	0.196010093	0	0	0.123194492	0	0	0	0.210334667	0	0	0.999	-0.091484028	1.140318702
AKI28	7.227615943	8.839466263	12.51099591	0	0.13023338	0.17302337	0	0.372863835	0	0.029999162	0	0.020809977	0.045408823	0.147628437	0	0	0.022950106	0	0	0	0	0.032491194	0	0.024591716	0	0.986	-0.05326453	1.139024468
AKI29	4.640244936	8.39383732	9.874020768	0	0	0.099182082	0	0.322418991	0.258270661	0.029824917	0	0	0	0.058701859	0	0.09238331	0	0.004214179	0.095624473	0	0	0	0	0.039379527	0	0.418	0.048626539	1.097753762
AKI30	10.14550764	7.725508276	11.53724874	0.273256551	0	0.09976217	0.093030519	0	0.081056981	0	0.02457168	0	0	0.062375249	0	0.024475654	0	0	0	0	0	0	0.238197034	0.103274162	0	0.961	-0.036510874	1.11403887
AKI31	7.581200582	9.125628718	12.24824262	0.213279479	0	0.04477221	0	0.165471374	0.105527764	0	0	0.074563713	0	0.094503856	0	0.114078334	0	0.029540589	0.06803352	0	0.090229162	0	0	0	0	0.932	-0.027509702	1.105596761
AKI32	4.963859408	4.448460501	12.90793514	0	0	0	0	0	0.118041238	0	0.216486589	0	0	0	0.072737933	0	0.250361175	0	0.019198793	0	0.029181272	0.202029953	0	0	0.091963048	0.849	-0.014533031	1.112967511
AKI33	8.940435958	5.631783357	12.35535683	0.002197833	0	0.080448713	0	0.031747163	0.178984421	0	0	0.067933505	0	0.008726953	0.043972193	0.29901004	0	0	0	0	0.02373397	0	0.263245208	0	0	0.967	-0.039459971	1.114778975
AKI34	9.547657716	7.142532569	11.86928056	0	0.096244639	0.022176767	0	0.005597727	0	0	0.350011745	0	0	0.225846939	0.040287183	0.118051468	0.102388293	0	0	0	0	0.018924426	0.015002741	0.005468073	0	0.952	-0.032242265	1.139244898
AKI35	6.782179194	9.046726139	13.29687141	0	0.057460343	0	0	0	0.255282162	0.041101924	0	0.049417118	0	0.261759178	0	0.196765696	0.091591283	0	0	0	0	0.046622297	0	0	0	0.983	-0.050091825	1.145444403
AKI36	8.747213945	9.55322929	12.47218841	0.512081705	0	0	0	0	0.03193271	0	0.079788299	0	0	0.054578867	0	0.140599948	0	0	0.162266709	0	0.018751761	0	0	0	0	0.869	-0.01782704	1.143871695
AKI37	8.71624787	7.236412892	12.57870683	0	0.036304921	0.054116099	0.017497543	0.237652393	0.218523876	0	0	0	0	0.156264256	0	0.254903123	0.022781024	0	0	0	0.001956767	0	0	0	0	0.365	0.060426392	1.095991556
AKI38	9.233569749	6.999765168	13.50950957	0.133353591	0	0.10586865	0	0.183977888	0	0.083463556	0	0.008133991	0	0	0.038510147	0.375809418	0.060851421	0	0	0	0.010031338	0	0	0	0	0.954	-0.032843232	1.111522563
AKI39	6.882388314	6.54399845	12.79384882	0	0.073554747	0.009888877	0.011810985	0.332025459	0.125000149	0	0	0	0	0.233725834	0	0.063528753	0.097845223	0	0.017976771	0	0	0.034643203	0	0	0	0.956	-0.033772255	1.151370922
